,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results,total_run_x
547,Chennai Super Kings,Sunrisers Hyderabad,Chennai,123,117,1,,24.0,6.31,1,135.0
548,Chennai Super Kings,Sunrisers Hyderabad,Chennai,123,116,0,,18.0,6.36,1,135.0
549,Lucknow Super Giants,Gujarat Titans,Lucknow,136,125,9,,-0.0,6.53,0,136.0
550,Lucknow Super Giants,Gujarat Titans,Lucknow,136,124,8,,-0.0,6.58,0,136.0
551,Lucknow Super Giants,Gujarat Titans,Lucknow,136,123,7,,-0.0,6.63,0,136.0
552,Lucknow Super Giants,Gujarat Titans,Lucknow,136,122,6,,-0.0,6.69,0,136.0
553,Lucknow Super Giants,Gujarat Titans,Lucknow,136,121,5,,-0.0,6.74,0,136.0
554,Lucknow Super Giants,Gujarat Titans,Lucknow,135,119,3,,6.0,6.81,0,136.0
555,Lucknow Super Giants,Gujarat Titans,Lucknow,134,118,2,,6.0,6.81,0,136.0
556,Lucknow Super Giants,Gujarat Titans,Lucknow,134,117,1,,4.0,6.87,0,136.0
557,Lucknow Super Giants,Gujarat Titans,Lucknow,130,116,0,,9.0,6.72,0,136.0
558,Mumbai Indians,Punjab Kings,Mumbai,208,119,3,,42.0,10.49,0,215.0
559,Mumbai Indians,Punjab Kings,Mumbai,207,119,2,,48.0,10.44,0,215.0
560,Mumbai Indians,Punjab Kings,Mumbai,207,118,1,,24.0,10.53,0,215.0
561,Mumbai Indians,Punjab Kings,Mumbai,206,117,0,,18.0,10.56,0,215.0
562,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,190,125,9,,-0.0,9.12,0,190.0
563,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,189,119,3,,6.0,9.53,0,190.0
564,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,185,118,2,,15.0,9.41,0,190.0
565,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,185,117,1,,10.0,9.49,0,190.0
566,Rajasthan Royals,Royal Challengers Bangalore,Bengaluru,185,116,0,,7.5,9.57,0,190.0
567,Kolkata Knight Riders,Chennai Super Kings,Kolkata,235,119,3,,6.0,11.85,0,236.0
568,Kolkata Knight Riders,Chennai Super Kings,Kolkata,235,118,2,,3.0,11.95,0,236.0
569,Kolkata Knight Riders,Chennai Super Kings,Kolkata,234,117,1,,4.0,12.0,0,236.0
570,Kolkata Knight Riders,Chennai Super Kings,Kolkata,233,116,0,,4.5,12.05,0,236.0
571,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,145,125,9,,-0.0,6.96,0,145.0
572,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,145,124,8,,-0.0,7.02,0,145.0
573,Sunrisers Hyderabad,Delhi Capitals,Hyderabad,138,119,3,,42.0,6.96,0,145.0
